
mysql> select * from constituent_financials_csv;
+--------+----------------------------------------+----------------------------+-------+---------------+----------------+----------------+-----------+-------------+--------------+-------------+------------+------------+---------------------------------------------------------------------+
| symbol | name                                   | sector                     | price | price_earning | dividend_yeald | earning_sector | 5_weeklow | 52_weekhigh | market_cap   | ebitda      | price_sale | price_book | sec_filling                                                         |
+--------+----------------------------------------+----------------------------+-------+---------------+----------------+----------------+-----------+-------------+--------------+-------------+------------+------------+---------------------------------------------------------------------+
| MMM    | 3M Company                             | Industrials                |   223 |            24 |              2 |              8 |       260 |         175 | 138721000000 |  9048000000 |          4 |         11 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM   |
| AOS    | A.O. Smith Corp                        | Industrials                |    60 |            28 |              1 |              2 |        68 |          49 |  10783419933 |   601000000 |          4 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS   |
| ABT    | Abbott Laboratories                    | Health Care                |    56 |            23 |              2 |              0 |        65 |          42 | 102121000000 |  5744000000 |          4 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT   |
| ABBV   | AbbVie Inc.                            | Health Care                |   108 |            19 |              2 |              3 |       126 |          60 | 181386000000 | 10310000000 |          6 |         26 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV  |
| ACN    | Accenture plc                          | Information Technology     |   151 |            25 |              2 |              5 |       163 |         115 |  98765855553 |  5643228000 |          3 |         11 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN   |
| ATVI   | Activision Blizzard                    | Information Technology     |    66 |            32 |              0 |              1 |        75 |          39 |  52518668144 |  2704000000 |         11 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI  |
| AYI    | Acuity Brands Inc                      | Industrials                |   145 |            18 |              0 |              7 |       225 |         142 |   6242377704 |   587800000 |          2 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI   |
| ADBE   | Adobe Systems Inc                      | Information Technology     |   185 |            52 |              0 |              3 |       204 |         114 |  94550214268 |  2538040000 |         13 |         11 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE  |
| AAP    | Advance Auto Parts                     | Consumer Discretionary     |   110 |            20 |              0 |              6 |       170 |          79 |   8123611867 |   853941000 |          1 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP   |
| AMD    | Advanced Micro Devices Inc             | Information Technology     |    11 |           187 |              0 |              0 |        16 |          10 |  11191663795 |   339000000 |          2 |         21 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD   |
| AES    | AES Corp                               | Utilities                  |    10 |            10 |              5 |             -2 |        12 |          10 |   6920851212 |  3001000000 |          1 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES   |
| AET    | Aetna Inc                              | Health Care                |   178 |            18 |              1 |              6 |       194 |         120 |  59197016353 |  4139000000 |          1 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET   |
| AMG    | Affiliated Managers Group Inc          | Financials                 |   179 |            12 |              1 |             12 |       217 |         149 |  10442174371 |  1261400000 |          5 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG   |
| AFL    | AFLAC Inc                              | Financials                 |    83 |            12 |              2 |             11 |        92 |          69 |  33422948000 |           0 |          2 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL   |
| A      | Agilent Technologies Inc               | Health Care                |    65 |            27 |              1 |              2 |        75 |          49 |  21984606918 |  1094000000 |          6 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A     |
| APD    | Air Products & Chemicals Inc           | Materials                  |   153 |            24 |              3 |             14 |       175 |         134 |  34638387128 |  2542500000 |          4 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD   |
| AKAM   | Akamai Technologies Inc                | Information Technology     |    62 |            33 |              0 |              2 |        70 |          45 |  10906904066 |   789517000 |          6 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM  |
| ALK    | Alaska Air Group Inc                   | Industrials                |    64 |            10 |              2 |              8 |       101 |          59 |   7903173734 |  1665000000 |          1 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK   |
| ALB    | Albemarle Corp                         | Materials                  |   105 |            26 |              1 |              6 |       145 |          90 |  11782151266 |   686030000 |          5 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB   |
| ARE    | Alexandria Real Estate Equities Inc    | Real Estate                |   115 |            19 |              3 |              2 |       134 |         107 |  12043374429 |           0 |         10 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE   |
| ALXN   | Alexion Pharmaceuticals                | Health Care                |   108 |            22 |              0 |              2 |       149 |          96 |  26172439795 |  1072000000 |         10 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN  |
| ALGN   | Align Technology                       | Health Care                |   221 |            57 |              0 |              3 |       287 |          93 |  18788041378 |   380326000 |         13 |         16 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN  |
| ALLE   | Allegion                               | Industrials                |    77 |            21 |              1 |              2 |        90 |          67 |   7599609494 |   531800000 |          4 |         20 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE  |
| AGN    | Allergan, Plc                          | Health Care                |   164 |            11 |              2 |             38 |       257 |         160 |  56668833898 | -2888100000 |          5 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN   |
| ADS    | Alliance Data Systems                  | Information Technology     |   241 |            13 |              1 |             14 |       278 |         209 |  13632608582 |  2143200000 |          2 |          8 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS   |
| LNT    | Alliant Energy Corp                    | Utilities                  |    37 |            20 |              4 |              2 |        46 |          37 |   8670163500 |  1168400000 |          3 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT   |
| ALL    | Allstate Corp                          | Financials                 |    90 |            13 |              2 |              5 |       105 |          78 |  34759468905 |           0 |          1 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL   |
| GOOGL  | Alphabet Inc Class A                   | Information Technology     |  1008 |            31 |              0 |             22 |      1198 |         824 | 733824000000 | 34217000000 |          7 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL |
| GOOG   | Alphabet Inc Class C                   | Information Technology     |  1002 |            40 |              0 |             22 |      1187 |         803 | 728536000000 | 32714000000 |          7 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG  |
| MO     | Altria Group Inc                       | Consumer Staples           |    64 |            19 |              4 |              5 |        78 |          60 | 126985000000 | 10773000000 |          5 |         10 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO    |
| AMZN   | Amazon.com Inc                         | Consumer Discretionary     |  1351 |           296 |              0 |              6 |      1498 |         813 | 685873000000 | 16132000000 |          4 |         24 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN  |
| AEE    | Ameren Corp                            | Utilities                  |    53 |            20 |              3 |              3 |        65 |          52 |  12905744906 |  2298000000 |          3 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE   |
| AAL    | American Airlines Group                | Industrials                |    49 |            10 |              1 |              4 |        59 |          39 |  24594852352 |  5761000000 |          1 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL   |
| AEP    | American Electric Power                | Utilities                  |    63 |            17 |              4 |              1 |        78 |          63 |  31701916517 |  4450800000 |          3 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP   |
| AXP    | American Express Co                    | Financials                 |    88 |            15 |              1 |              3 |       102 |          76 |  80410990000 |           0 |          2 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP   |
| AIG    | American International Group, Inc.     | Financials                 |    58 |            23 |              2 |             -1 |        67 |          58 |  54360073164 |           0 |          1 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG   |
| AMT    | American Tower Corp A                  | Real Estate                |   134 |            21 |              2 |              2 |       155 |         103 |  59213892640 |  3792383000 |         12 |          9 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT   |
| AWK    | American Water Works Company Inc       | Utilities                  |    76 |            26 |              2 |              3 |        92 |          72 |  13906146184 |  1711000000 |          6 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK   |
| AMP    | Ameriprise Financial                   | Financials                 |   153 |            12 |              2 |              9 |       184 |         119 |  23472126000 |           0 |          2 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP   |
